repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
CodeForAfrica/PromiseTracker,dependabot[bot],dependabot[bot],6,901,661,150.17,110.17,True
CodeForAfrica/PromiseTracker,koechkevin,KEVIN KOECH,5,8307,1111,1661.4,222.2,False
CodeForAfrica/PromiseTracker,,Kevin Koech,24,10524,2055,438.5,85.62,False
CodeForAfrica/PromiseTracker,koechkevin,Kevin Koech,1,5529,5411,5529.0,5411.0,False
CodeForAfrica/academy.AFRICA,,Kevin Koech,27,933,223,34.56,8.26,False
CodeForAfrica/academy.AFRICA,kelvinkipruto,kelvin kipruto,233,26073,21127,111.9,90.67,False
CodeForAfrica/academy.AFRICA,koechkevin,Kevin Koech,236,36108,10085,153.0,42.73,False
CodeForAfrica/academy.AFRICA,,Kevin Koech,3,83,25,27.67,8.33,False
CodeForAfrica/academy.AFRICA,kilemensi,Clemence Kyara,1,17,1,17.0,1.0,False
CodeForAfrica/Dominion.AFRICA,kilemensi,Clemence Kyara,48,13821,18325,287.94,381.77,False
CodeForAfrica/Dominion.AFRICA,kilemensi,Clemence Kyara,119,15970,20642,134.2,173.46,False
CodeForAfrica/Dominion.AFRICA,dependabot[bot],dependabot[bot],29,884,554,30.48,19.1,True
CodeForAfrica/Dominion.AFRICA,esirK,Isaiah King'ori,1,134,1,134.0,1.0,False
CodeForAfrica/Dominion.AFRICA,esirK,esir,7,137,4,19.57,0.57,False
CodeForAfrica/Dominion.AFRICA,KhadijaMahanga,Khadija Mahanga,152,39951,22590,262.84,148.62,False
CodeForAfrica/Dominion.AFRICA,karimkawambwa,karimkawambwa,58,4476,3522,77.17,60.72,False
CodeForAfrica/Dominion.AFRICA,DavidLemayian,David Lemayian,31,2580,2876,83.23,92.77,False
CodeForAfrica/Dominion.AFRICA,DavidLemayian,David Lemayian,11,362,14670,32.91,1333.64,False
CodeForAfrica/Dominion.AFRICA,nerdlet,nerdlet,41,2902,1641,70.78,40.02,False
CodeForAfrica/Dominion.AFRICA,,Brenda Nyokabi Bucha,3,2487,1670,829.0,556.67,False
CodeForAfrica/GenderGap.AFRICA,elric-wamugu,Eric Wamugu,2,38,24,19.0,12.0,False
CodeForAfrica/GenderGap.AFRICA,thepsalmist,Xavier Frankline Odhiambo,2,2,2,1.0,1.0,False
CodeForAfrica/GenderGap.AFRICA,Kinjuriu,Stephane Njoki,4,333,353,83.25,88.25,False
CodeForAfrica/GenderGap.AFRICA,Kinjuriu,Kinjuriu,7,492,505,70.29,72.14,False
CodeForAfrica/GenderGap.AFRICA,kilemensi,Clemence Kyara,19,374,224,19.68,11.79,False
CodeForAfrica/GenderGap.AFRICA,dependabot[bot],dependabot[bot],14,372,222,26.57,15.86,True
CodeForAfrica/GenderGap.AFRICA,kilemensi,_ Kilemensi,1,1,1,1.0,1.0,False
CodeForAfrica/GenderGap.AFRICA,nerdlet,Brenda Nyokabi Bucha,20,4210,14176,210.5,708.8,False
CodeForAfrica/GenderGap.AFRICA,,Brenda Nyokabi Bucha,5,2427,1964,485.4,392.8,False
CodeForAfrica/GenderGap.AFRICA,robinkiplangat,Robin Kiplang'at,2,47,43,23.5,21.5,False
CodeForAfrica/GenderGap.AFRICA,DavidLemayian,David Lemayian,3,90,76,30.0,25.33,False
CodeForAfrica/GenderGap.AFRICA,dependabot[bot],dependabot[bot],2,19,7,9.5,3.5,True
CodeForAfrica/GenderGap.AFRICA,DavidLemayian,David Lemayian,37,48732,36564,1317.08,988.22,False
CodeForAfrica/GenderGap.AFRICA,robinkiplangat,4bic,2,71,69,35.5,34.5,False
CodeForAfrica/GenderGap.AFRICA,mtuchi,Emmanuel Evance,1,937,11498,937.0,11498.0,False
CodeForAfrica/GenderGap.AFRICA,,nerdlet,15,11362,696,757.47,46.4,False
CodeForAfrica/GenderGap.AFRICA,emmalewis,Emma Lewis,70,6795,11955,97.07,170.79,False
CodeForAfrica/GenderGap.AFRICA,chaficnajjar,Chafic Najjar,48,11739,2185,244.56,45.52,False
CodeForAfrica/openAFRICA,Arame93,Arame Thiam,4,133,5,33.25,1.25,False
CodeForAfrica/openAFRICA,thepsalmist,Xavier Frankline Odhiambo,13,1031,1077,79.31,82.85,False
CodeForAfrica/openAFRICA,thepsalmist,Xavier Frankline,46,1121,1167,24.37,25.37,False
CodeForAfrica/openAFRICA,,=xavierfrank4,2,26,151,13.0,75.5,False
CodeForAfrica/openAFRICA,esirK,esir,6,965,813,160.83,135.5,False
CodeForAfrica/openAFRICA,esirK,Isaiah King'ori,2,4,4,2.0,2.0,False
CodeForAfrica/openAFRICA,DavidLemayian,David Lemayian,57,2180,428,38.25,7.51,False
CodeForAfrica/openAFRICA,phillipahereza,Phillip Ahereza,15,270,48,18.0,3.2,False
CodeForAfrica/openAFRICA,WNjihia,WNjihia,1,47,10,47.0,10.0,False
CodeForAfrica/openAFRICA,,Mercy-Muchai,8,62,22,7.75,2.75,False
CodeForAfrica/outbreak.AFRICA,kilemensi,Clemence Kyara,66,13537,14233,205.11,215.65,False
CodeForAfrica/outbreak.AFRICA,kilemensi,Clemence Kyara,192,27503,21460,143.24,111.77,False
CodeForAfrica/outbreak.AFRICA,dependabot[bot],dependabot[bot],17,422,398,24.82,23.41,True
CodeForAfrica/outbreak.AFRICA,thepsalmist,Xavier Frankline Odhiambo,2,2,2,1.0,1.0,False
CodeForAfrica/outbreak.AFRICA,KobbyMmo,Obed Amoasi,18,1725,944,95.83,52.44,False
CodeForAfrica/outbreak.AFRICA,KhadijaMahanga,Khadija Mahanga,150,6311,4304,42.07,28.69,False
CodeForAfrica/outbreak.AFRICA,dependabot-preview[bot],dependabot-preview[bot],9,980,757,108.89,84.11,True
CodeForAfrica/outbreak.AFRICA,gertie-sheshe,gertie-sheshe,3,58,2,19.33,0.67,False
CodeForAfrica/outbreak.AFRICA,TriciaGovindasamy,TriciaGovindasamy,27,999,68,37.0,2.52,False
CodeForAfrica/outbreak.AFRICA,,Brenda Nyokabi Bucha,4,655,37,163.75,9.25,False
CodeForAfrica/outbreak.AFRICA,nerdlet,nerdlet,12,29,56,2.42,4.67,False
CodeForAfrica/ui,claude,Claude,1,0,0,0.0,0.0,False
CodeForAfrica/ui,github-advanced-security[bot],,3,0,0,0.0,0.0,True
CodeForAfrica/ui,xnbchd,kelvin,4,0,0,0.0,0.0,False
CodeForAfrica/ui,github-actions[bot],,5,0,0,0.0,0.0,True
CodeForAfrica/ui,DavidTheProgrammer,Muma,6,0,0,0.0,0.0,False
CodeForAfrica/ui,saminegash,Samuel Negash Hailu,14,0,0,0.0,0.0,False
CodeForAfrica/ui,KhadijaMahanga,Khadija Mahanga,22,0,0,0.0,0.0,False
CodeForAfrica/ui,VinneyJ,Vincent Otieno,33,0,0,0.0,0.0,False
CodeForAfrica/ui,thepsalmist,Xavier Frankline Odhiambo,45,0,0,0.0,0.0,False
CodeForAfrica/ui,dependabot-preview[bot],,79,0,0,0.0,0.0,True
CodeForAfrica/ui,dependabot[bot],,106,0,0,0.0,0.0,True
CodeForAfrica/ui,KobbyMmo,Obed Amoasi,229,0,0,0.0,0.0,False
CodeForAfrica/ui,gertie-sheshe,Gertrude,327,0,0,0.0,0.0,False
CodeForAfrica/ui,m453h,Michael Hudson Nkotagu,382,0,0,0.0,0.0,False
CodeForAfrica/ui,esirK,Isaiah King'ori,401,0,0,0.0,0.0,False
CodeForAfrica/ui,nerdlet,Brenda Nyokabi Bucha,1018,0,0,0.0,0.0,False
CodeForAfrica/ui,koechkevin,KEVIN KOECH,1681,0,0,0.0,0.0,False
CodeForAfrica/ui,kelvinkipruto,Kipruto,2587,0,0,0.0,0.0,False
CodeForAfrica/ui,kilemensi,Clemence Kyara,3138,0,0,0.0,0.0,False
CodeForAfrica/sensors.AFRICA,kilemensi,Clemence Kyara,78,24914,43457,319.41,557.14,False
CodeForAfrica/sensors.AFRICA,kilemensi,Clemence Kyara,104,27585,47316,265.24,454.96,False
CodeForAfrica/sensors.AFRICA,gideonmaina,Giddie,3,105,14,35.0,4.67,False
CodeForAfrica/sensors.AFRICA,thepsalmist,Xavier Frankline Odhiambo,2,15368,512,7684.0,256.0,False
CodeForAfrica/sensors.AFRICA,m453h,Michael Hudson Nkotagu,5,58,23,11.6,4.6,False
CodeForAfrica/sensors.AFRICA,thepsalmist,Xavier Frankline,17,19432,4940,1143.06,290.59,False
CodeForAfrica/sensors.AFRICA,usmanbiu,usmanbiu,4,26,23,6.5,5.75,False
CodeForAfrica/sensors.AFRICA,dependabot[bot],dependabot[bot],33,2735,1818,82.88,55.09,True
CodeForAfrica/sensors.AFRICA,kilemensi,kilemensi,31,1558,846,50.26,27.29,False
CodeForAfrica/sensors.AFRICA,,Code for Africa,5,14,14,2.8,2.8,False
CodeForAfrica/sensors.AFRICA,kelvinkipruto,Kipruto,29,14457,14155,498.52,488.1,False
CodeForAfrica/sensors.AFRICA,koechkevin,KEVIN KOECH,4,45,11,11.25,2.75,False
CodeForAfrica/sensors.AFRICA,esirK,Isaiah King'ori,1,152,4,152.0,4.0,False
CodeForAfrica/sensors.AFRICA,esirK,esir,11,168,20,15.27,1.82,False
