repo_full_name,week_start,total_commits,unique_contributors,new_contributors,cumulative_commits,cumulative_contributors
DemocracyClub/UK-Polling-Stations,2015-02-16,4,1,1,4,1
DemocracyClub/UK-Polling-Stations,2015-02-23,23,1,0,27,1
DemocracyClub/UK-Polling-Stations,2015-03-09,1,1,0,28,1
DemocracyClub/UK-Polling-Stations,2015-03-16,2,2,1,30,2
DemocracyClub/UK-Polling-Stations,2015-03-23,7,2,1,37,3
DemocracyClub/UK-Polling-Stations,2015-03-30,82,2,0,119,3
DemocracyClub/UK-Polling-Stations,2015-04-06,63,2,0,182,3
DemocracyClub/UK-Polling-Stations,2015-04-13,34,2,0,216,3
DemocracyClub/UK-Polling-Stations,2015-04-27,33,3,1,249,4
DemocracyClub/UK-Polling-Stations,2015-05-04,4,2,0,253,4
DemocracyClub/UK-Polling-Stations,2015-09-07,4,1,0,257,4
DemocracyClub/UK-Polling-Stations,2016-01-18,3,1,0,260,4
DemocracyClub/UK-Polling-Stations,2016-01-25,6,1,1,266,5
DemocracyClub/UK-Polling-Stations,2016-02-01,16,3,1,282,6
DemocracyClub/UK-Polling-Stations,2016-02-08,11,2,0,293,6
DemocracyClub/UK-Polling-Stations,2016-02-15,19,2,0,312,6
DemocracyClub/UK-Polling-Stations,2016-02-29,25,3,1,337,7
DemocracyClub/UK-Polling-Stations,2016-03-07,15,4,0,352,7
DemocracyClub/UK-Polling-Stations,2016-03-14,76,5,0,428,7
DemocracyClub/UK-Polling-Stations,2016-03-21,51,4,1,479,8
DemocracyClub/UK-Polling-Stations,2016-03-28,32,2,0,511,8
DemocracyClub/UK-Polling-Stations,2016-04-04,13,3,0,524,8
DemocracyClub/UK-Polling-Stations,2016-04-11,34,3,0,558,8
DemocracyClub/UK-Polling-Stations,2016-04-18,22,2,0,580,8
DemocracyClub/UK-Polling-Stations,2016-04-25,32,2,0,612,8
DemocracyClub/UK-Polling-Stations,2016-05-02,18,3,0,630,8
DemocracyClub/UK-Polling-Stations,2016-05-09,3,1,0,633,8
DemocracyClub/UK-Polling-Stations,2016-05-16,7,3,0,640,8
DemocracyClub/UK-Polling-Stations,2016-05-23,17,2,0,657,8
DemocracyClub/UK-Polling-Stations,2016-05-30,7,2,0,664,8
DemocracyClub/UK-Polling-Stations,2016-06-06,62,3,0,726,8
DemocracyClub/UK-Polling-Stations,2016-06-13,87,3,1,813,9
DemocracyClub/UK-Polling-Stations,2016-06-20,52,3,0,865,9
DemocracyClub/UK-Polling-Stations,2016-07-11,14,2,0,879,9
DemocracyClub/UK-Polling-Stations,2016-07-18,2,1,0,881,9
DemocracyClub/UK-Polling-Stations,2016-08-01,15,1,0,896,9
DemocracyClub/UK-Polling-Stations,2016-08-08,22,1,0,918,9
DemocracyClub/UK-Polling-Stations,2016-08-15,22,1,0,940,9
DemocracyClub/UK-Polling-Stations,2016-09-05,14,2,0,954,9
DemocracyClub/UK-Polling-Stations,2016-09-12,5,1,0,959,9
DemocracyClub/UK-Polling-Stations,2016-09-19,2,1,0,961,9
DemocracyClub/UK-Polling-Stations,2016-10-03,9,2,0,970,9
DemocracyClub/UK-Polling-Stations,2016-10-10,6,3,0,976,9
DemocracyClub/UK-Polling-Stations,2016-10-17,10,3,0,986,9
DemocracyClub/UK-Polling-Stations,2016-10-24,3,1,0,989,9
DemocracyClub/UK-Polling-Stations,2016-10-31,4,2,0,993,9
DemocracyClub/UK-Polling-Stations,2016-11-07,6,2,1,999,10
DemocracyClub/UK-Polling-Stations,2016-11-14,18,3,0,1017,10
DemocracyClub/UK-Polling-Stations,2016-11-21,6,1,0,1023,10
DemocracyClub/UK-Polling-Stations,2016-11-28,1,1,0,1024,10
DemocracyClub/UK-Polling-Stations,2016-12-05,6,2,0,1030,10
DemocracyClub/UK-Polling-Stations,2016-12-12,18,2,0,1048,10
DemocracyClub/UK-Polling-Stations,2016-12-19,3,2,0,1051,10
DemocracyClub/UK-Polling-Stations,2016-12-26,35,1,0,1086,10
DemocracyClub/UK-Polling-Stations,2017-01-02,9,1,0,1095,10
DemocracyClub/UK-Polling-Stations,2017-01-09,17,2,0,1112,10
DemocracyClub/UK-Polling-Stations,2017-01-16,12,2,1,1124,11
DemocracyClub/UK-Polling-Stations,2017-01-23,7,2,0,1131,11
DemocracyClub/UK-Polling-Stations,2017-01-30,6,1,0,1137,11
DemocracyClub/UK-Polling-Stations,2017-02-06,14,2,0,1151,11
DemocracyClub/UK-Polling-Stations,2017-02-13,58,3,0,1209,11
DemocracyClub/UK-Polling-Stations,2017-02-20,7,1,0,1216,11
DemocracyClub/UK-Polling-Stations,2017-02-27,12,2,0,1228,11
DemocracyClub/UK-Polling-Stations,2017-03-06,44,2,0,1272,11
DemocracyClub/UK-Polling-Stations,2017-03-13,44,2,0,1316,11
DemocracyClub/UK-Polling-Stations,2017-03-20,18,2,0,1334,11
DemocracyClub/UK-Polling-Stations,2017-03-27,86,2,0,1420,11
DemocracyClub/UK-Polling-Stations,2017-04-03,54,2,0,1474,11
DemocracyClub/UK-Polling-Stations,2017-04-10,54,2,0,1528,11
DemocracyClub/UK-Polling-Stations,2017-04-17,48,2,0,1576,11
DemocracyClub/UK-Polling-Stations,2017-04-24,51,3,0,1627,11
DemocracyClub/UK-Polling-Stations,2017-05-01,38,2,0,1665,11
DemocracyClub/UK-Polling-Stations,2017-05-08,39,2,0,1704,11
DemocracyClub/UK-Polling-Stations,2017-05-15,81,2,0,1785,11
DemocracyClub/UK-Polling-Stations,2017-05-22,96,3,1,1881,12
DemocracyClub/UK-Polling-Stations,2017-05-29,64,1,0,1945,12
DemocracyClub/UK-Polling-Stations,2017-06-05,49,2,1,1994,13
DemocracyClub/UK-Polling-Stations,2017-06-26,10,2,0,2004,13
DemocracyClub/UK-Polling-Stations,2017-07-03,4,2,0,2008,13
DemocracyClub/UK-Polling-Stations,2017-07-10,13,1,0,2021,13
DemocracyClub/UK-Polling-Stations,2017-07-17,8,2,0,2029,13
DemocracyClub/UK-Polling-Stations,2017-08-07,12,1,0,2041,13
DemocracyClub/UK-Polling-Stations,2017-08-14,4,1,0,2045,13
DemocracyClub/UK-Polling-Stations,2017-08-21,2,2,0,2047,13
DemocracyClub/UK-Polling-Stations,2017-08-28,5,1,0,2052,13
DemocracyClub/UK-Polling-Stations,2017-09-04,19,2,0,2071,13
DemocracyClub/UK-Polling-Stations,2017-09-11,6,2,0,2077,13
DemocracyClub/UK-Polling-Stations,2017-09-18,2,1,0,2079,13
DemocracyClub/UK-Polling-Stations,2017-09-25,24,2,1,2103,14
DemocracyClub/UK-Polling-Stations,2017-10-02,24,2,0,2127,14
DemocracyClub/UK-Polling-Stations,2017-10-23,7,2,0,2134,14
DemocracyClub/UK-Polling-Stations,2017-10-30,29,2,0,2163,14
DemocracyClub/UK-Polling-Stations,2017-11-06,8,2,0,2171,14
DemocracyClub/UK-Polling-Stations,2017-11-13,2,2,0,2173,14
DemocracyClub/UK-Polling-Stations,2017-11-20,17,1,0,2190,14
DemocracyClub/UK-Polling-Stations,2017-11-27,36,3,1,2226,15
DemocracyClub/UK-Polling-Stations,2017-12-04,12,3,0,2238,15
DemocracyClub/UK-Polling-Stations,2017-12-11,5,3,0,2243,15
DemocracyClub/UK-Polling-Stations,2017-12-18,11,1,0,2254,15
DemocracyClub/UK-Polling-Stations,2018-01-01,19,2,0,2273,15
DemocracyClub/UK-Polling-Stations,2018-01-08,7,3,0,2280,15
DemocracyClub/UK-Polling-Stations,2018-01-15,2,2,0,2282,15
DemocracyClub/UK-Polling-Stations,2018-02-05,3,2,0,2285,15
DemocracyClub/UK-Polling-Stations,2018-02-12,9,2,0,2294,15
DemocracyClub/UK-Polling-Stations,2018-02-19,16,3,0,2310,15
DemocracyClub/UK-Polling-Stations,2018-02-26,23,3,0,2333,15
DemocracyClub/UK-Polling-Stations,2018-03-05,28,2,0,2361,15
DemocracyClub/UK-Polling-Stations,2018-03-12,52,3,0,2413,15
DemocracyClub/UK-Polling-Stations,2018-03-19,38,3,0,2451,15
DemocracyClub/UK-Polling-Stations,2018-03-26,27,2,0,2478,15
DemocracyClub/UK-Polling-Stations,2018-04-02,56,2,0,2534,15
DemocracyClub/UK-Polling-Stations,2018-04-09,46,2,0,2580,15
DemocracyClub/UK-Polling-Stations,2018-04-16,21,2,0,2601,15
DemocracyClub/UK-Polling-Stations,2018-04-23,45,1,0,2646,15
DemocracyClub/UK-Polling-Stations,2018-04-30,50,2,0,2696,15
DemocracyClub/UK-Polling-Stations,2018-05-07,1,1,0,2697,15
DemocracyClub/UK-Polling-Stations,2018-05-14,2,1,0,2699,15
DemocracyClub/UK-Polling-Stations,2018-05-21,1,1,0,2700,15
DemocracyClub/UK-Polling-Stations,2018-06-11,20,2,0,2720,15
DemocracyClub/UK-Polling-Stations,2018-06-18,7,3,1,2727,16
DemocracyClub/UK-Polling-Stations,2018-06-25,10,2,0,2737,16
DemocracyClub/UK-Polling-Stations,2018-07-02,2,2,0,2739,16
DemocracyClub/UK-Polling-Stations,2018-07-09,1,1,0,2740,16
DemocracyClub/UK-Polling-Stations,2018-07-16,2,1,0,2742,16
DemocracyClub/UK-Polling-Stations,2018-07-23,8,1,0,2750,16
DemocracyClub/UK-Polling-Stations,2018-07-30,8,3,1,2758,17
DemocracyClub/UK-Polling-Stations,2018-08-20,6,4,0,2764,17
DemocracyClub/UK-Polling-Stations,2018-08-27,9,2,0,2773,17
DemocracyClub/UK-Polling-Stations,2018-09-03,2,1,0,2775,17
DemocracyClub/UK-Polling-Stations,2018-09-10,6,2,0,2781,17
DemocracyClub/UK-Polling-Stations,2018-09-17,2,1,0,2783,17
DemocracyClub/UK-Polling-Stations,2018-09-24,2,2,0,2785,17
DemocracyClub/UK-Polling-Stations,2018-10-01,1,1,0,2786,17
DemocracyClub/UK-Polling-Stations,2018-10-08,2,1,0,2788,17
DemocracyClub/UK-Polling-Stations,2018-10-15,11,2,0,2799,17
DemocracyClub/UK-Polling-Stations,2018-10-22,12,1,0,2811,17
DemocracyClub/UK-Polling-Stations,2018-10-29,3,2,0,2814,17
DemocracyClub/UK-Polling-Stations,2018-11-05,5,2,0,2819,17
DemocracyClub/UK-Polling-Stations,2018-11-12,3,1,0,2822,17
DemocracyClub/UK-Polling-Stations,2018-11-19,3,2,0,2825,17
DemocracyClub/UK-Polling-Stations,2018-11-26,13,1,0,2838,17
DemocracyClub/UK-Polling-Stations,2018-12-03,6,2,0,2844,17
DemocracyClub/UK-Polling-Stations,2018-12-10,3,2,0,2847,17
DemocracyClub/UK-Polling-Stations,2018-12-17,11,1,0,2858,17
DemocracyClub/UK-Polling-Stations,2018-12-31,10,3,0,2868,17
DemocracyClub/UK-Polling-Stations,2019-01-07,6,1,0,2874,17
DemocracyClub/UK-Polling-Stations,2019-01-14,2,2,0,2876,17
DemocracyClub/UK-Polling-Stations,2019-01-21,5,3,0,2881,17
DemocracyClub/UK-Polling-Stations,2019-01-28,16,2,0,2897,17
DemocracyClub/UK-Polling-Stations,2019-02-04,16,2,0,2913,17
DemocracyClub/UK-Polling-Stations,2019-02-11,27,2,0,2940,17
DemocracyClub/UK-Polling-Stations,2019-02-18,38,3,1,2978,18
DemocracyClub/UK-Polling-Stations,2019-02-25,38,3,0,3016,18
DemocracyClub/UK-Polling-Stations,2019-03-04,46,3,0,3062,18
DemocracyClub/UK-Polling-Stations,2019-03-11,51,2,0,3113,18
DemocracyClub/UK-Polling-Stations,2019-03-18,30,2,0,3143,18
DemocracyClub/UK-Polling-Stations,2019-03-25,43,3,0,3186,18
DemocracyClub/UK-Polling-Stations,2019-04-01,61,3,0,3247,18
DemocracyClub/UK-Polling-Stations,2019-04-08,41,3,1,3288,19
DemocracyClub/UK-Polling-Stations,2019-04-15,47,3,0,3335,19
DemocracyClub/UK-Polling-Stations,2019-04-22,59,3,0,3394,19
DemocracyClub/UK-Polling-Stations,2019-04-29,53,3,0,3447,19
DemocracyClub/UK-Polling-Stations,2019-05-06,98,5,1,3545,20
DemocracyClub/UK-Polling-Stations,2019-05-13,100,4,0,3645,20
DemocracyClub/UK-Polling-Stations,2019-05-20,98,3,0,3743,20
DemocracyClub/UK-Polling-Stations,2019-05-27,2,1,0,3745,20
DemocracyClub/UK-Polling-Stations,2019-06-03,1,1,0,3746,20
DemocracyClub/UK-Polling-Stations,2019-06-10,6,2,0,3752,20
DemocracyClub/UK-Polling-Stations,2019-07-01,1,1,0,3753,20
DemocracyClub/UK-Polling-Stations,2019-07-08,6,1,0,3759,20
DemocracyClub/UK-Polling-Stations,2019-07-15,2,2,0,3761,20
DemocracyClub/UK-Polling-Stations,2019-07-22,4,2,0,3765,20
DemocracyClub/UK-Polling-Stations,2019-07-29,7,2,0,3772,20
DemocracyClub/UK-Polling-Stations,2019-08-05,19,2,0,3791,20
DemocracyClub/UK-Polling-Stations,2019-08-12,3,2,0,3794,20
DemocracyClub/UK-Polling-Stations,2019-08-26,1,1,0,3795,20
DemocracyClub/UK-Polling-Stations,2019-09-02,9,2,0,3804,20
DemocracyClub/UK-Polling-Stations,2019-09-09,13,1,0,3817,20
DemocracyClub/UK-Polling-Stations,2019-09-16,3,2,0,3820,20
DemocracyClub/UK-Polling-Stations,2019-09-23,1,1,0,3821,20
DemocracyClub/UK-Polling-Stations,2019-09-30,11,2,0,3832,20
DemocracyClub/UK-Polling-Stations,2019-10-07,8,2,0,3840,20
DemocracyClub/UK-Polling-Stations,2019-10-14,6,2,0,3846,20
DemocracyClub/UK-Polling-Stations,2019-10-28,17,3,1,3863,21
DemocracyClub/UK-Polling-Stations,2019-11-04,63,5,0,3926,21
DemocracyClub/UK-Polling-Stations,2019-11-11,87,5,0,4013,21
DemocracyClub/UK-Polling-Stations,2019-11-18,101,6,1,4114,22
DemocracyClub/UK-Polling-Stations,2019-11-25,97,5,0,4211,22
DemocracyClub/UK-Polling-Stations,2019-12-02,102,5,0,4313,22
DemocracyClub/UK-Polling-Stations,2019-12-09,85,3,0,4398,22
DemocracyClub/UK-Polling-Stations,2020-01-13,13,1,0,4411,22
DemocracyClub/UK-Polling-Stations,2020-01-20,5,1,0,4416,22
DemocracyClub/UK-Polling-Stations,2020-01-27,6,3,0,4422,22
DemocracyClub/UK-Polling-Stations,2020-02-03,17,4,0,4439,22
DemocracyClub/UK-Polling-Stations,2020-02-10,7,3,0,4446,22
DemocracyClub/UK-Polling-Stations,2020-02-17,19,2,0,4465,22
DemocracyClub/UK-Polling-Stations,2020-02-24,17,3,0,4482,22
DemocracyClub/UK-Polling-Stations,2020-03-02,27,3,0,4509,22
DemocracyClub/UK-Polling-Stations,2020-03-09,6,2,0,4515,22
DemocracyClub/UK-Polling-Stations,2020-03-16,6,3,1,4521,23
DemocracyClub/UK-Polling-Stations,2020-03-23,12,3,0,4533,23
DemocracyClub/UK-Polling-Stations,2020-03-30,11,3,0,4544,23
DemocracyClub/UK-Polling-Stations,2020-04-06,2,2,0,4546,23
DemocracyClub/UK-Polling-Stations,2020-04-20,6,2,0,4552,23
DemocracyClub/UK-Polling-Stations,2020-04-27,1,1,0,4553,23
DemocracyClub/UK-Polling-Stations,2020-05-04,5,2,0,4558,23
DemocracyClub/UK-Polling-Stations,2020-05-11,1,1,0,4559,23
DemocracyClub/UK-Polling-Stations,2020-05-18,14,4,0,4573,23
DemocracyClub/UK-Polling-Stations,2020-08-03,7,2,0,4580,23
DemocracyClub/UK-Polling-Stations,2020-08-10,5,1,0,4585,23
DemocracyClub/UK-Polling-Stations,2020-08-17,9,1,0,4594,23
DemocracyClub/UK-Polling-Stations,2020-09-28,1,1,0,4595,23
DemocracyClub/UK-Polling-Stations,2020-10-05,6,4,1,4601,24
DemocracyClub/UK-Polling-Stations,2020-10-12,10,1,0,4611,24
DemocracyClub/UK-Polling-Stations,2020-10-19,7,1,0,4618,24
DemocracyClub/UK-Polling-Stations,2020-10-26,28,2,0,4646,24
DemocracyClub/UK-Polling-Stations,2020-11-02,2,2,0,4648,24
DemocracyClub/UK-Polling-Stations,2020-11-09,1,1,0,4649,24
DemocracyClub/UK-Polling-Stations,2020-11-16,2,1,0,4651,24
DemocracyClub/UK-Polling-Stations,2020-11-23,1,1,0,4652,24
DemocracyClub/UK-Polling-Stations,2020-12-07,3,1,0,4655,24
DemocracyClub/UK-Polling-Stations,2020-12-14,42,2,0,4697,24
DemocracyClub/UK-Polling-Stations,2020-12-21,2,2,1,4699,25
DemocracyClub/UK-Polling-Stations,2021-01-04,5,2,0,4704,25
DemocracyClub/UK-Polling-Stations,2021-01-11,7,1,0,4711,25
DemocracyClub/UK-Polling-Stations,2021-01-18,16,1,0,4727,25
DemocracyClub/UK-Polling-Stations,2021-01-25,12,2,0,4739,25
DemocracyClub/UK-Polling-Stations,2021-02-01,23,2,0,4762,25
DemocracyClub/UK-Polling-Stations,2021-02-08,11,1,0,4773,25
DemocracyClub/UK-Polling-Stations,2021-02-15,12,3,1,4785,26
DemocracyClub/UK-Polling-Stations,2021-02-22,28,3,0,4813,26
DemocracyClub/UK-Polling-Stations,2021-03-01,31,5,0,4844,26
DemocracyClub/UK-Polling-Stations,2021-03-08,38,5,0,4882,26
DemocracyClub/UK-Polling-Stations,2021-03-15,46,4,0,4928,26
DemocracyClub/UK-Polling-Stations,2021-03-22,68,4,0,4996,26
DemocracyClub/UK-Polling-Stations,2021-03-29,64,4,0,5060,26
DemocracyClub/UK-Polling-Stations,2021-04-05,65,5,0,5125,26
DemocracyClub/UK-Polling-Stations,2021-04-12,58,4,0,5183,26
DemocracyClub/UK-Polling-Stations,2021-04-19,66,4,0,5249,26
DemocracyClub/UK-Polling-Stations,2021-04-26,60,6,2,5309,28
DemocracyClub/UK-Polling-Stations,2021-05-03,30,4,0,5339,28
DemocracyClub/UK-Polling-Stations,2021-05-10,5,2,0,5344,28
DemocracyClub/UK-Polling-Stations,2021-06-14,1,1,1,5345,29
DemocracyClub/UK-Polling-Stations,2021-06-21,1,1,1,5346,30
DemocracyClub/UK-Polling-Stations,2021-06-28,4,2,0,5350,30
DemocracyClub/UK-Polling-Stations,2021-07-05,12,3,0,5362,30
DemocracyClub/UK-Polling-Stations,2021-07-12,13,2,0,5375,30
DemocracyClub/UK-Polling-Stations,2021-08-09,17,2,0,5392,30
DemocracyClub/UK-Polling-Stations,2021-08-16,4,2,0,5396,30
DemocracyClub/UK-Polling-Stations,2021-08-23,1,1,0,5397,30
DemocracyClub/UK-Polling-Stations,2021-09-13,9,1,0,5406,30
DemocracyClub/UK-Polling-Stations,2021-09-20,4,1,0,5410,30
DemocracyClub/UK-Polling-Stations,2021-09-27,7,3,0,5417,30
DemocracyClub/UK-Polling-Stations,2021-10-04,1,1,0,5418,30
DemocracyClub/UK-Polling-Stations,2021-10-18,20,3,0,5438,30
DemocracyClub/UK-Polling-Stations,2021-10-25,2,1,0,5440,30
DemocracyClub/UK-Polling-Stations,2021-11-01,3,2,0,5443,30
DemocracyClub/UK-Polling-Stations,2021-11-08,5,2,0,5448,30
DemocracyClub/UK-Polling-Stations,2021-11-15,9,2,0,5457,30
DemocracyClub/UK-Polling-Stations,2021-11-22,4,1,0,5461,30
DemocracyClub/UK-Polling-Stations,2021-11-29,5,1,0,5466,30
DemocracyClub/UK-Polling-Stations,2021-12-13,2,2,0,5468,30
DemocracyClub/UK-Polling-Stations,2022-01-10,22,2,0,5490,30
DemocracyClub/UK-Polling-Stations,2022-01-17,7,1,0,5497,30
DemocracyClub/UK-Polling-Stations,2022-01-24,6,3,0,5503,30
DemocracyClub/UK-Polling-Stations,2022-01-31,19,3,0,5522,30
DemocracyClub/UK-Polling-Stations,2022-02-07,25,6,1,5547,31
DemocracyClub/UK-Polling-Stations,2022-02-14,9,3,0,5556,31
DemocracyClub/UK-Polling-Stations,2022-02-21,14,2,0,5570,31
DemocracyClub/UK-Polling-Stations,2022-02-28,36,4,0,5606,31
DemocracyClub/UK-Polling-Stations,2022-03-07,61,5,0,5667,31
DemocracyClub/UK-Polling-Stations,2022-03-14,37,3,0,5704,31
DemocracyClub/UK-Polling-Stations,2022-03-21,53,4,0,5757,31
DemocracyClub/UK-Polling-Stations,2022-03-28,49,5,0,5806,31
DemocracyClub/UK-Polling-Stations,2022-04-04,59,5,0,5865,31
DemocracyClub/UK-Polling-Stations,2022-04-11,44,5,0,5909,31
DemocracyClub/UK-Polling-Stations,2022-04-18,35,5,0,5944,31
DemocracyClub/UK-Polling-Stations,2022-04-25,15,4,1,5959,32
DemocracyClub/UK-Polling-Stations,2022-05-02,21,3,0,5980,32
DemocracyClub/UK-Polling-Stations,2022-05-23,5,1,0,5985,32
DemocracyClub/UK-Polling-Stations,2022-05-30,2,1,0,5987,32
DemocracyClub/UK-Polling-Stations,2022-07-11,1,1,0,5988,32
DemocracyClub/UK-Polling-Stations,2022-07-25,1,1,0,5989,32
DemocracyClub/UK-Polling-Stations,2022-08-01,1,1,0,5990,32
DemocracyClub/UK-Polling-Stations,2022-08-29,3,1,0,5993,32
DemocracyClub/UK-Polling-Stations,2022-09-12,3,2,0,5996,32
DemocracyClub/UK-Polling-Stations,2022-09-26,3,2,0,5999,32
DemocracyClub/UK-Polling-Stations,2022-10-03,7,3,0,6006,32
DemocracyClub/UK-Polling-Stations,2022-10-17,6,3,0,6012,32
DemocracyClub/UK-Polling-Stations,2022-10-24,10,3,1,6022,33
DemocracyClub/UK-Polling-Stations,2022-10-31,10,4,0,6032,33
DemocracyClub/UK-Polling-Stations,2022-11-07,6,3,0,6038,33
DemocracyClub/UK-Polling-Stations,2022-11-14,21,3,0,6059,33
DemocracyClub/UK-Polling-Stations,2022-11-21,3,2,0,6062,33
DemocracyClub/UK-Polling-Stations,2022-11-28,1,1,0,6063,33
DemocracyClub/UK-Polling-Stations,2022-12-05,2,1,0,6065,33
DemocracyClub/UK-Polling-Stations,2022-12-12,3,2,0,6068,33
DemocracyClub/UK-Polling-Stations,2023-01-02,1,1,0,6069,33
DemocracyClub/UK-Polling-Stations,2023-01-09,1,1,0,6070,33
DemocracyClub/UK-Polling-Stations,2023-01-16,4,2,0,6074,33
DemocracyClub/UK-Polling-Stations,2023-01-23,14,5,0,6088,33
DemocracyClub/UK-Polling-Stations,2023-01-30,11,4,0,6099,33
DemocracyClub/UK-Polling-Stations,2023-02-06,10,2,0,6109,33
DemocracyClub/UK-Polling-Stations,2023-02-13,27,3,0,6136,33
DemocracyClub/UK-Polling-Stations,2023-02-20,44,5,0,6180,33
DemocracyClub/UK-Polling-Stations,2023-02-27,35,5,0,6215,33
DemocracyClub/UK-Polling-Stations,2023-03-06,64,4,0,6279,33
DemocracyClub/UK-Polling-Stations,2023-03-13,63,6,1,6342,34
DemocracyClub/UK-Polling-Stations,2023-03-20,42,7,0,6384,34
DemocracyClub/UK-Polling-Stations,2023-03-27,39,4,0,6423,34
DemocracyClub/UK-Polling-Stations,2023-04-03,32,4,0,6455,34
DemocracyClub/UK-Polling-Stations,2023-04-10,43,4,0,6498,34
DemocracyClub/UK-Polling-Stations,2023-04-17,37,5,0,6535,34
