repo_full_name,pr_count_total,pr_count_merged,pr_count_open,pr_count_closed_unmerged,tag_count,release_count
CivicTechWR/WRVotesPlaceholder,0,0,0,0,0,0
CivicTechWR/accessible-housing-portal,108,75,3,30,0,0
CivicTechWR/connectedkw,33,28,2,3,0,0
CivicTechWR/go-train-group-pass,57,39,7,11,0,0
CivicTechWR/project-pech,25,16,4,5,0,0
CodeForAfrica/Dominion.AFRICA,109,91,4,14,10,1
CodeForAfrica/GenderGap.AFRICA,44,38,2,4,0,0
CodeForAfrica/PromiseTracker,498,388,3,107,2,1
CodeForAfrica/academy.AFRICA,9,2,6,1,0,0
CodeForAfrica/actNOW,1160,909,6,245,0,0
CodeForAfrica/openAFRICA,17,15,0,2,3,1
CodeForAfrica/outbreak.AFRICA,164,151,3,10,0,0
CodeForAfrica/sensors.AFRICA,303,231,12,60,6,1
CodeForAfrica/ui,996,826,10,160,0,0
CodeforLeipzig/leipziggiesst,6,4,0,2,3,0
CodeforLeipzig/weihnachtsmarktkarte,75,13,10,52,0,0
VoteIT/voteit_frontend,45,10,0,35,84,0
bikespace/bikespace,306,227,9,70,6,6
choruslabs/chorus,64,62,1,1,0,0
civic-dashboard/civic-dashboard-web,227,175,17,35,0,0
civiform/civiform,8865,7897,67,901,159,159
code-for-magdeburg/StadtratWatch-web,154,150,0,4,1,0
codeforamerica/asap_pdf,435,298,21,116,0,0
codeforamerica/cmr-maryland-eligibility-determination,19,19,0,0,0,0
codeforamerica/document-transfer-service,16,12,1,3,0,0
codeforamerica/efiler-api,160,110,9,41,0,0
codeforamerica/form-flow,1196,993,3,200,105,105
codeforamerica/pya,343,242,12,89,36,36
codeforamerica/tax-benefits-backend,207,191,1,15,0,0
codeforamerica/vita-min,6314,5332,6,976,976,930
codeforberlin/we-count,1,1,0,0,1,0
codeforbielefeld/baumbie,44,35,5,4,8,0
codeforbielefeld/losdb,0,0,0,0,0,0
codeforcologne/Denkmal-4D-Koeln,2,2,0,0,0,0
codeforjapan/BirdXplorer,133,128,2,3,0,0
codeforjapan/decidim-cfj,623,577,17,29,94,94
codeformuenster/klimawatch,138,114,10,14,0,0
digidemlab/decidim-census,6,1,4,1,0,0
g0v/tw-rental-house-data,149,55,18,76,4,4
iiab/iiab,2800,2430,19,351,100,98
meshtastic/Meshtastic-Android,4014,3713,15,286,381,267
meshtastic/firmware,6399,5242,203,954,325,260
meshtastic/web,616,502,10,104,13,12
mysociety/ceuk-marking,124,98,4,22,0,0
oklabflensburg/oddfl,1,1,0,0,1,1
oklabflensburg/open-biotope-map,0,0,0,0,0,0
oklabflensburg/open-data-api,4,3,0,1,0,0
oklabflensburg/open-emergency-map,0,0,0,0,0,0
oklabflensburg/open-monuments-map,11,8,3,0,0,0
oklabflensburg/open-parcel-map,1,1,0,0,0,0
oklabflensburg/open-recycling-map,0,0,0,0,0,0
oklabflensburg/open-school-map,0,0,0,0,0,0
oklabflensburg/open-trees-map,6,6,0,0,0,0
openlegaldata/oldp,164,94,1,69,22,0
ton-An/station_reach,1,1,0,0,0,0
